ct_scan_name,data_centre
ct_scan_0,0
ct_scan_1,0
ct_scan_2,0
ct_scan_3,0
ct_scan_4,0
ct_scan_5,0
ct_scan_6,0
ct_scan_7,0
ct_scan_8,0
ct_scan_9,0
ct_scan_10,0
ct_scan_11,0
ct_scan_12,0
ct_scan_13,0
ct_scan_14,0
ct_scan_15,0
ct_scan_16,0
ct_scan_17,0
ct_scan_18,0
ct_scan_19,0
ct_scan_20,0
ct_scan_21,0
ct_scan_22,0
ct_scan_23,0
ct_scan_24,0
ct_scan_25,0
ct_scan_26,0
ct_scan_27,0
ct_scan_28,0
ct_scan_29,0
ct_scan_30,0
ct_scan_31,0
ct_scan_32,0
ct_scan_33,0
ct_scan_34,0
ct_scan_35,0
ct_scan_36,0
ct_scan_37,0
ct_scan_38,0
ct_scan_39,0
ct_scan_40,0
ct_scan_41,0
ct_scan_42,0
ct_scan_43,0
ct_scan_44,0
ct_scan_45,0
ct_scan_46,0
ct_scan_47,0
ct_scan_48,0
ct_scan_49,0
ct_scan_50,0
ct_scan_51,0
ct_scan_52,0
ct_scan_53,0
ct_scan_54,0
ct_scan_55,0
ct_scan_56,0
ct_scan_57,0
ct_scan_58,0
ct_scan_59,0
ct_scan_60,0
ct_scan_61,0
ct_scan_62,0
ct_scan_63,0
ct_scan_64,0
ct_scan_65,0
ct_scan_66,0
ct_scan_67,0
ct_scan_68,0
ct_scan_69,0
ct_scan_70,0
ct_scan_71,0
ct_scan_72,0
ct_scan_73,0
ct_scan_74,0
ct_scan_75,0
ct_scan_76,0
ct_scan_77,0
ct_scan_78,0
ct_scan_79,0
ct_scan_80,0
ct_scan_81,0
ct_scan_82,0
ct_scan_83,0
ct_scan_84,0
ct_scan_85,0
ct_scan_86,0
ct_scan_87,0
ct_scan_88,0
ct_scan_89,0
ct_scan_90,0
ct_scan_91,0
ct_scan_92,0
ct_scan_93,0
ct_scan_94,0
ct_scan_95,0
ct_scan_96,0
ct_scan_97,0
ct_scan_98,0
ct_scan_99,0
ct_scan_100,0
ct_scan_101,0
ct_scan_102,0
ct_scan_103,0
ct_scan_104,0
ct_scan_105,0
ct_scan_106,0
ct_scan_107,0
ct_scan_108,0
ct_scan_109,0
ct_scan_110,0
ct_scan_111,0
ct_scan_112,0
ct_scan_113,0
ct_scan_114,0
ct_scan_115,0
ct_scan_116,0
ct_scan_117,0
ct_scan_118,0
ct_scan_119,0
ct_scan_120,0
ct_scan_121,0
ct_scan_122,0
ct_scan_123,0
ct_scan_124,0
ct_scan_125,0
ct_scan_126,0
ct_scan_127,0
ct_scan_128,0
ct_scan_129,0
ct_scan_130,0
ct_scan_131,0
ct_scan_132,0
ct_scan_133,0
ct_scan_134,0
ct_scan_135,0
ct_scan_136,0
ct_scan_137,0
ct_scan_138,0
ct_scan_139,0
ct_scan_140,0
ct_scan_141,0
ct_scan_142,0
ct_scan_143,0
ct_scan_144,0
ct_scan_145,0
ct_scan_146,0
ct_scan_147,0
ct_scan_148,0
ct_scan_149,0
ct_scan_150,0
ct_scan_151,0
ct_scan_152,0
ct_scan_153,0
ct_scan_154,0
ct_scan_155,0
ct_scan_156,0
ct_scan_157,0
ct_scan_158,0
ct_scan_159,0
ct_scan_160,0
ct_scan_161,0
ct_scan_162,0
ct_scan_163,0
ct_scan_164,0
ct_scan_165,1
ct_scan_166,1
ct_scan_167,1
ct_scan_168,1
ct_scan_169,1
ct_scan_170,1
ct_scan_171,1
ct_scan_172,1
ct_scan_173,1
ct_scan_174,1
ct_scan_175,1
ct_scan_176,1
ct_scan_177,1
ct_scan_178,1
ct_scan_179,1
ct_scan_180,1
ct_scan_181,1
ct_scan_182,1
ct_scan_183,1
ct_scan_184,1
ct_scan_185,1
ct_scan_186,1
ct_scan_187,1
ct_scan_188,1
ct_scan_189,1
ct_scan_190,1
ct_scan_191,1
ct_scan_192,1
ct_scan_193,1
ct_scan_194,1
ct_scan_195,1
ct_scan_196,1
ct_scan_197,1
ct_scan_198,1
ct_scan_199,1
ct_scan_200,1
ct_scan_201,1
ct_scan_202,1
ct_scan_203,1
ct_scan_204,1
ct_scan_205,1
ct_scan_206,1
ct_scan_207,1
ct_scan_208,1
ct_scan_209,1
ct_scan_210,1
ct_scan_211,1
ct_scan_212,1
ct_scan_213,1
ct_scan_214,1
ct_scan_215,1
ct_scan_216,1
ct_scan_217,1
ct_scan_218,1
ct_scan_219,1
ct_scan_220,1
ct_scan_221,1
ct_scan_222,1
ct_scan_223,1
ct_scan_224,1
ct_scan_225,1
ct_scan_226,1
ct_scan_227,1
ct_scan_228,1
ct_scan_229,1
ct_scan_230,1
ct_scan_231,1
ct_scan_232,1
ct_scan_233,1
ct_scan_234,1
ct_scan_235,1
ct_scan_236,1
ct_scan_237,1
ct_scan_238,1
ct_scan_239,1
ct_scan_240,1
ct_scan_241,1
ct_scan_242,1
ct_scan_243,1
ct_scan_244,1
ct_scan_245,1
ct_scan_246,1
ct_scan_247,1
ct_scan_248,1
ct_scan_249,1
ct_scan_250,1
ct_scan_251,1
ct_scan_252,1
ct_scan_253,1
ct_scan_254,1
ct_scan_255,1
ct_scan_256,1
ct_scan_257,1
ct_scan_258,1
ct_scan_259,1
ct_scan_260,1
ct_scan_261,1
ct_scan_262,1
ct_scan_263,1
ct_scan_264,1
ct_scan_265,1
ct_scan_266,1
ct_scan_267,1
ct_scan_268,1
ct_scan_269,1
ct_scan_270,1
ct_scan_271,1
ct_scan_272,1
ct_scan_273,1
ct_scan_274,1
ct_scan_275,1
ct_scan_276,1
ct_scan_277,1
ct_scan_278,1
ct_scan_279,1
ct_scan_280,1
ct_scan_281,1
ct_scan_282,1
ct_scan_283,1
ct_scan_284,1
ct_scan_285,1
ct_scan_286,1
ct_scan_287,1
ct_scan_288,1
ct_scan_289,1
ct_scan_290,1
ct_scan_291,1
ct_scan_292,1
ct_scan_293,1
ct_scan_294,1
ct_scan_295,1
ct_scan_296,1
ct_scan_297,1
ct_scan_298,1
ct_scan_299,1
ct_scan_300,1
ct_scan_301,1
ct_scan_302,1
ct_scan_303,1
ct_scan_304,1
ct_scan_305,1
ct_scan_306,1
ct_scan_307,1
ct_scan_308,1
ct_scan_309,1
ct_scan_310,1
ct_scan_311,1
ct_scan_312,1
ct_scan_313,1
ct_scan_314,1
ct_scan_315,1
ct_scan_316,1
ct_scan_317,1
ct_scan_318,1
ct_scan_319,1
ct_scan_320,1
ct_scan_321,1
ct_scan_322,1
ct_scan_323,1
ct_scan_324,1
ct_scan_325,1
ct_scan_326,1
ct_scan_327,1
ct_scan_328,1
ct_scan_329,1
ct_scan_330,2
ct_scan_331,2
ct_scan_332,2
ct_scan_333,2
ct_scan_334,2
ct_scan_335,2
ct_scan_336,2
ct_scan_337,2
ct_scan_338,2
ct_scan_339,2
ct_scan_340,2
ct_scan_341,2
ct_scan_342,2
ct_scan_343,2
ct_scan_344,2
ct_scan_345,2
ct_scan_346,2
ct_scan_347,2
ct_scan_348,2
ct_scan_349,2
ct_scan_350,2
ct_scan_351,2
ct_scan_352,2
ct_scan_353,2
ct_scan_354,2
ct_scan_355,2
ct_scan_356,2
ct_scan_357,2
ct_scan_358,2
ct_scan_359,2
ct_scan_360,2
ct_scan_361,2
ct_scan_362,2
ct_scan_363,2
ct_scan_364,2
ct_scan_365,2
ct_scan_366,2
ct_scan_367,2
ct_scan_368,2
ct_scan_369,2
ct_scan_370,2
ct_scan_371,2
ct_scan_372,2
ct_scan_373,2
ct_scan_374,2
ct_scan_375,2
ct_scan_376,2
ct_scan_377,2
ct_scan_378,2
ct_scan_379,2
ct_scan_380,2
ct_scan_381,2
ct_scan_382,2
ct_scan_383,2
ct_scan_384,2
ct_scan_385,2
ct_scan_386,2
ct_scan_387,2
ct_scan_388,2
ct_scan_389,2
ct_scan_390,2
ct_scan_391,2
ct_scan_392,2
ct_scan_393,2
ct_scan_394,2
ct_scan_395,2
ct_scan_396,2
ct_scan_397,2
ct_scan_398,2
ct_scan_399,2
ct_scan_400,2
ct_scan_401,2
ct_scan_402,2
ct_scan_403,2
ct_scan_404,2
ct_scan_405,2
ct_scan_406,2
ct_scan_407,2
ct_scan_408,2
ct_scan_409,2
ct_scan_410,2
ct_scan_411,2
ct_scan_412,2
ct_scan_413,2
ct_scan_414,2
ct_scan_415,2
ct_scan_416,2
ct_scan_417,2
ct_scan_418,2
ct_scan_419,2
ct_scan_420,2
ct_scan_421,2
ct_scan_422,2
ct_scan_423,2
ct_scan_424,2
ct_scan_425,2
ct_scan_426,2
ct_scan_427,2
ct_scan_428,2
ct_scan_429,2
ct_scan_430,2
ct_scan_431,2
ct_scan_432,2
ct_scan_433,2
ct_scan_434,2
ct_scan_435,2
ct_scan_436,2
ct_scan_437,2
ct_scan_438,2
ct_scan_439,2
ct_scan_440,2
ct_scan_441,2
ct_scan_442,2
ct_scan_443,2
ct_scan_444,2
ct_scan_445,2
ct_scan_446,2
ct_scan_447,2
ct_scan_448,2
ct_scan_449,2
ct_scan_450,2
ct_scan_451,2
ct_scan_452,2
ct_scan_453,2
ct_scan_454,2
ct_scan_455,2
ct_scan_456,2
ct_scan_457,2
ct_scan_458,2
ct_scan_459,2
ct_scan_460,2
ct_scan_461,2
ct_scan_462,2
ct_scan_463,2
ct_scan_464,2
ct_scan_465,2
ct_scan_466,2
ct_scan_467,2
ct_scan_468,2
ct_scan_469,2
ct_scan_470,2
ct_scan_471,2
ct_scan_472,2
ct_scan_473,2
ct_scan_474,2
ct_scan_475,2
ct_scan_476,2
ct_scan_477,2
ct_scan_478,2
ct_scan_479,2
ct_scan_480,2
ct_scan_481,2
ct_scan_482,2
ct_scan_483,2
ct_scan_484,2
ct_scan_485,2
ct_scan_486,2
ct_scan_487,2
ct_scan_488,2
ct_scan_489,2
ct_scan_490,2
ct_scan_491,2
ct_scan_492,2
ct_scan_493,2
ct_scan_494,2
ct_scan_495,3
ct_scan_496,3
ct_scan_497,3
ct_scan_498,3
ct_scan_499,3
ct_scan_500,3
ct_scan_501,3
ct_scan_502,3
ct_scan_503,3
ct_scan_504,3
ct_scan_505,3
ct_scan_506,3
ct_scan_507,3
ct_scan_508,3
ct_scan_509,3
ct_scan_510,3
ct_scan_511,3
ct_scan_512,3
ct_scan_513,3
ct_scan_514,3
ct_scan_515,3
ct_scan_516,3
ct_scan_517,3
ct_scan_518,3
ct_scan_519,3
ct_scan_520,3
ct_scan_521,3
ct_scan_522,3
ct_scan_523,3
ct_scan_524,3
ct_scan_525,3
ct_scan_526,3
ct_scan_527,3
ct_scan_528,3
ct_scan_529,3
ct_scan_530,3
ct_scan_531,3
ct_scan_532,3
ct_scan_533,3
ct_scan_534,3
ct_scan_535,3
ct_scan_536,3
ct_scan_537,3
ct_scan_538,3
ct_scan_539,3
ct_scan_540,3
ct_scan_541,3
ct_scan_542,3
ct_scan_543,3
ct_scan_544,3
ct_scan_545,3
ct_scan_546,3
ct_scan_547,3
ct_scan_548,3
ct_scan_549,3
ct_scan_550,3
ct_scan_551,3
ct_scan_552,3
ct_scan_553,3
ct_scan_554,3
ct_scan_555,3
ct_scan_556,3
ct_scan_557,3
ct_scan_558,3
ct_scan_559,3
ct_scan_560,3
ct_scan_561,3
ct_scan_562,3
ct_scan_563,3
ct_scan_564,3
ct_scan_565,3
ct_scan_566,3
ct_scan_567,3
ct_scan_568,3
ct_scan_569,3
ct_scan_570,3
ct_scan_571,3
ct_scan_572,3
ct_scan_573,3
ct_scan_574,3
ct_scan_575,3
ct_scan_576,3
ct_scan_577,3
ct_scan_578,3
ct_scan_579,3
ct_scan_580,3
ct_scan_581,3
ct_scan_582,3
ct_scan_583,3
ct_scan_584,3
ct_scan_585,3
ct_scan_586,3
ct_scan_587,3
ct_scan_588,3
ct_scan_589,3
ct_scan_590,3
ct_scan_591,3
ct_scan_592,3
ct_scan_593,3
ct_scan_594,3
ct_scan_595,3
ct_scan_596,3
ct_scan_597,3
ct_scan_598,3
ct_scan_599,3
ct_scan_600,3
ct_scan_601,3
ct_scan_602,3
ct_scan_603,3
ct_scan_604,3
ct_scan_605,3
ct_scan_606,3
ct_scan_607,3
ct_scan_608,3
ct_scan_609,3
ct_scan_610,3
ct_scan_611,3
ct_scan_612,3
ct_scan_613,3
ct_scan_614,3
ct_scan_615,3
ct_scan_616,3
ct_scan_617,3
ct_scan_618,3
ct_scan_619,3
ct_scan_620,3
ct_scan_621,3
ct_scan_622,3
ct_scan_623,3
ct_scan_624,3
ct_scan_625,3
ct_scan_626,3
ct_scan_627,3
ct_scan_628,3
ct_scan_629,3
ct_scan_630,3
ct_scan_631,3
ct_scan_632,3
ct_scan_633,3
ct_scan_634,3
ct_scan_635,3
ct_scan_636,3
ct_scan_637,3
ct_scan_638,3
ct_scan_639,3
ct_scan_640,3
ct_scan_641,3
ct_scan_642,3
ct_scan_643,3
ct_scan_644,3
ct_scan_645,3
ct_scan_646,3
ct_scan_647,3
ct_scan_648,3
ct_scan_649,3
ct_scan_650,3
ct_scan_651,3
ct_scan_652,3
ct_scan_653,3
ct_scan_654,3
ct_scan_655,3
ct_scan_656,3
ct_scan_657,3
ct_scan_658,3
ct_scan_659,3
